Project ID,Compliance Program ID (ARB or Ecology),Project Developer,Project Name,Project Type,Project Methodology/Protocol,Current Crediting Period Start Date,Current Crediting Period End Date,Voluntary Status,Compliance Program Status (ARB or Ecology),Project Status Date,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Current VVB,ACR Project Validation,Total Number of Credits Registered ,Documents,Project Website
ACR533,CAOD5533,A-Gas US Inc.,A-Gas 3-2020,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/11/2020,3/10/2030,N/A,Listed - Active ARB Project,12/12/2019,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,81042,View,www.agasamericas.com
ACR849,N/A,A-Gas US Inc.,A-Gas ODS-VER1,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,2/27/2023,4/17/2023,Completed,Not ARB or Ecology Eligible,7/6/2023,"1100 Haskins Rd Bowling Green, OH 43402",OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","First Environment, Inc.","First Environment, Inc.",15943,View,
ACR823,N/A,A-Gas US Inc.,A-Gas South Korea 1,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) from International Sources,11/1/2022,10/31/2032,Completed,Not ARB or Ecology Eligible,7/13/2023,Bowling Green,OHIO,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land",Ruby Canyon Environment,Ruby Canyon Environment,88945,View,https://www.agas.com/
ACR573,N/A,A-Gas US Inc.,A-Gas V1,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",12/11/2018,12/10/2028,Completed,Not ARB or Ecology Eligible,7/26/2022,"Wood County, Bowling Green, Ohio",OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,,83702,View,www.agasamericas.com
ACR775,N/A,A-Gas US Inc.,A-Gas V10,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",1/7/2021,1/6/2061,Completed,Not ARB or Ecology Eligible,2/23/2023,Bowling Green,OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",343908,View,
ACR827,N/A,A-Gas US Inc.,A-Gas V11,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",1/10/2022,1/9/2062,Completed,Not ARB or Ecology Eligible,9/5/2023,Bowling Green,OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",937572,View,https://www.agas.com/
ACR583,N/A,A-Gas US Inc.,A-Gas V2,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",12/5/2019,12/4/2029,Completed,Not ARB or Ecology Eligible,7/28/2022,"Wood County, Bowling Green, Ohio",OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,,23045,View,www.agasamericas.com
ACR584,N/A,A-Gas US Inc.,A-Gas V3,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",8/6/2019,8/5/2029,Completed,Not ARB or Ecology Eligible,7/28/2022,"Wood County, Bowling Green, Ohio",OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,16515,View,www.agasamericas.com
ACR585,N/A,A-Gas US Inc.,A-Gas V4,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",8/6/2020,8/5/2030,Completed,Not ARB or Ecology Eligible,7/28/2022,"Wood County, Bowling Green, Ohio",OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,94592,View,www.agasamericas.com
ACR646,N/A,A-Gas US Inc.,A-Gas V5,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",1/2/2019,1/1/2034,Completed,Not ARB or Ecology Eligible,7/26/2022,"Wood County, Bowling Green, Ohio",OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,754484,View,www.agasamericas.com
