Project ID,Compliance Program ID (ARB or Ecology),Project Developer,Project Name,Project Type,Project Methodology/Protocol,Current Crediting Period Start Date,Current Crediting Period End Date,Voluntary Status,Compliance Program Status (ARB or Ecology),Project Status Date,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Current VVB,ACR Project Validation,Total Number of Credits Registered ,Documents,Project Website
ACR288,CAFR5238,280,Camp Shelby Forest Carbon Project,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,7/29/2015,7/28/2040,N/A,Listed - Active ARB Project,10/30/2015,Forrest and Perry Counties,MISSISSIPPI,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Ruby Canyon Environment,N/A,36017,View,
ACR377,,California Timberlands 2 LLC,Cappell Creek Improved Forest Management Project,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,9/16/2016,3/16/2041,N/A,Transferred ARB or Ecology Project,10/29/2021,"Humboldt County, CA",CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Ruby Canyon Environment,N/A,397743,View,
ACR630,CAMM5630,"Sunrise Energy, LLC",Carlisle Abandoned Mine Methane Recovery Project,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,2/25/2021,2/24/2032,N/A,Listed - Active ARB Project,1/10/2023,Carlisle,INDIANA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action","First Environment of California, Inc.",N/A,100641,View,
ACR408,N/A,"Camco EAM, LLC",Castelanelli Bros Dairy Digester,Livestock Waste Management,AMS-III.Y: Methane avoidance through separation of solids from wastewater or manure treatment systems,7/1/2018,12/31/2019,Completed,Not ARB or Ecology Eligible,4/29/2021,San Joaquin County,CALIFORNIA,US,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","First Environment, Inc.","First Environment, Inc.",11295,View,
ACR651,CAMM5651,CH4 Solutions LLC,CH4 - BWM Carbon Capture Project 1,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,1/19/2021,8/15/2030,N/A,Listed - Active ARB Project,7/19/2021,Tuscaloosa County,ALABAMA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action","First Environment of California, Inc.",N/A,46263,View,
ACR800,CAMM5800,CH4 Solutions LLC,CH4 -BWM Carbon Capture Project 2,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,10/18/2021,10/17/2031,N/A,Listed - Active ARB Project,10/25/2022,Jefferson County,ALABAMA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action","First Environment of California, Inc.",N/A,33888,View,
ACR109,N/A,Chesapeake Energy,Chesapeake Mizer Pneumatic Retrofit,Industrial Process Emissions,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,1/1/2008,12/31/2017,Completed,Not ARB or Ecology Eligible,7/26/2022,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action",,,541804,View,
ACR110,N/A,Biogas Energy Solutions,Chicago LFG to Energy,Landfill Gas Capture & Combustion,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",2/1/1998,7/1/2007,Completed,Not ARB or Ecology Eligible,5/1/2012,Chicago,ILLINOIS,US,,ERT,,62262,View,
ACR380,N/A,Bank of Montreal,CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project,Agricultural Land Management,N2O Emission Reductions through Reduced Use of Fertilizer on Agricultural Crops,4/1/2013,3/31/2020,Completed,Not ARB or Ecology Eligible,7/26/2022,NCR,IOWA,US,02: Zero Hunger;06: Clean Water and Sanitation;13: Climate Action,"Environmental Services, Inc.",,70,View,
ACR390,CALS5390,"3Degrees Group, Inc.",Clean Fuel Partners Dane County Biodigester,Livestock Waste Management,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,4/1/2016,3/31/2027,N/A,Listed - Active ARB Project,9/26/2017,"6321 Cuba Valley Road, Dane County",WISCONSIN,US,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action","Agri-Waste Technology, Inc.",N/A,47847,View,
ACR250,CAFR5203,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,Clear Heart,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,4/28/2015,4/27/2040,N/A,Listed - Proposed Project,5/14/2015,Mendocino and Sonoma Counties,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,N/A,,View,
ACR594,CAMM5594,Environmental Commodities Corporation,CMMC1,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,10/9/2019,3/31/2030,N/A,Listed - Active ARB Project,10/7/2020,Cadiz,OHIO,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",Dillon Consulting Limited,N/A,34354,View,www.eccintl.com
ACR821,N/A,The Climate Trust,Coastal Edge IFM,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,10/26/2021,10/25/2042,Listed,Not ARB or Ecology Eligible,12/7/2022,"Arch Cape, Oregon",OREGON,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","Aster Global Environmental Solutions, Inc.",,,View,
ACR519,N/A,Vermont Forest Carbon LLC,Cold Hollow Carbon - Improved Forest Management Project,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,6/20/2019,6/19/2039,Registered,Not ARB or Ecology Eligible,4/14/2021,"Orleans, Franklin, and Lamoille counties",VERMONT,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land",SCS Global Services (Scientific Certification Systems),SCS Global Services (Scientific Certification Systems),173478,View,
ACR460,N/A,"3Degrees Group, Inc.",Compost Additions to Solano County Rangelands,Agricultural Land Management,Emission Reductions from Compost Additions to Grazed Grasslands,11/1/2016,10/31/2026,Canceled,Not ARB or Ecology Eligible,1/29/2021,"Solano County, CA",CALIFORNIA,US,02: Zero Hunger;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land,,,,View,
ACR292,CAFR5242,Congaree River LLC,Congaree River,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,10/21/2015,10/20/2040,N/A,Listed - Active ARB Project,10/21/2015,Coastal Mendocino County,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,"S&A Carbon, LLC",N/A,226125,View,
ACR442,CAOD5442,A-Gas US Inc.,Coolgas 2019-2,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,9/25/2018,9/24/2028,N/A,Listed - Active ARB Project,11/7/2018,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,113564,View,www.agasamericas.com
ACR388,CAMM5244,Keyrock Energy LLC,Corinth Abandoned Mine Methane Recovery Project,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,1/1/2015,12/31/2025,N/A,Listed – Active ARB Project,2/27/2015,Thompsonville,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;13: Climate Action","Agri-Waste Technology, Inc.",N/A,1015126,View,
ACR353,CALS5353,"3Degrees Group, Inc.",Cow Poo Digester,Livestock Waste Management,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,3/11/2016,6/30/2026,N/A,Listed - Active ARB Project,10/24/2016,Alma Center,WISCONSIN,US,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action","SES, Inc.",N/A,7781,View,
ACR729,N/A,"Loci Controls, Inc.",Cumberland County Solid Waste Complex: GHG Emissions Reduction Automated Collection of Landfill Gas,Landfill Gas Capture & Combustion,Landfill Gas Destruction and Beneficial Use Projects,7/1/2021,6/30/2031,Registered,Not ARB or Ecology Eligible,7/8/2022,"Deerfield, NJ",NEW JERSEY,US,"03: Good Health and Well-Being;07: Affordable and Clean Energy;08: Decent Work and Economic Growth;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,29760,View,
ACR279,CAFR5229,The Nature Conservancy,Cumberland Forest - Lonesome Pine Improved Forest Management Project,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,10/27/2015,10/26/2040,N/A,Listed - Active ARB Project,10/20/2015,Wise,VIRGINIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Ruby Canyon Environment,N/A,790391,View,
ACR248,CAFR5198,The Nature Conservancy,Cumberland Forest Highlands IFM,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,6/24/2015,6/23/2040,N/A,Listed - Active ARB Project,6/25/2015,"Wise, Dickenson, Russell, and Buchannan Counties",VIRGINIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Ruby Canyon Environment,N/A,3634950,View,
ACR183,N/A,"Diversified Pure Chem, LLC",D.P.C. Domestic ODS Destruction Project #12,Ozone Depleting Substances,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,4/4/2013,4/3/2023,Completed,Not ARB or Ecology Eligible,1/7/2022,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,,38517,View,www.divpc.com
ACR164,N/A,Environmental Capital LLC,DANC,Landfill Gas Capture & Combustion,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",1/2/2003,12/31/2007,Completed,Not ARB or Ecology Eligible,5/1/2012,"Rodman, NY",NEW YORK,US,,"First Environment, Inc.",,476553,View,
ACR607,CAMM5607,Keyrock Environment LLC,Deep Mine 26 Abandoned Mine Methane Recovery Project,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,6/26/2020,12/31/2029,N/A,Listed - Active ARB Project,12/1/2020,Clintwood,VIRGINIA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action","SES, Inc.",N/A,78334,View,
ACR163,N/A,Sexton Energy,Des Plaines LFG to Energy,Landfill Gas Capture & Combustion,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",1/1/2003,12/31/2007,Completed,Not ARB or Ecology Eligible,5/1/2012,"Cook County, IL",ILLINOIS,US,,"Landfills +, Inc.",,115875,View,
ACR186,N/A,"W. M. Beaty & Associates, Inc.",Devil Fire Reforestation,Forest Carbon,Climate Action Reserve Forest Project Protocol,4/15/2002,4/14/2102,Inactive,Not ARB or Ecology Eligible,12/14/2018,Susanville,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,,,View,www.wmbeaty.com
ACR246,CAFR5186,"W. M. Beaty & Associates, Inc.",Devil Fire Reforestation Compliance Project,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,1/1/2015,12/31/2039,N/A,Listed - Active Registry Project,2/27/2015,Susanville,CALIFORNIA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,Ruby Canyon Environment,N/A,,View,www.wmbeaty.com
ACR111,N/A,Devon Energy Group,Devon Mizer Pneumatic Retrofit,Industrial Process Emissions,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,3/1/2010,2/28/2020,Completed,Not ARB or Ecology Eligible,7/26/2022,"Oklahoma, Texas, Wyoming",OKLAHOMA,US,"07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;13: Climate Action","Det Norske Veritas (U.S.A.), Inc.",,5724,View,
ACR421,N/A,The Climate Trust,DLLT Wabassus IFM,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,1/1/2018,1/1/2038,Canceled,Not ARB or Ecology Eligible,5/7/2018,Washington County,MAINE,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land",,,,View,
ACR112,N/A,Biogas Energy Solutions,Dolton LFG to Energy,Landfill Gas Capture & Combustion,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",4/1/1998,7/1/2007,Completed,Not ARB or Ecology Eligible,5/1/2012,Dolton,ILLINOIS,US,,ERT,,159336,View,
ACR307,,Era Ecosystem Services,Donner Property,Forest Carbon,ARB Compliance Offset Protocol: U.S. Forest Projects,10/26/2015,10/25/2040,N/A,Listed - Proposed Project,10/29/2015,Donner Louisiana,LOUISIANA,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,N/A,,View,
ACR233,CALS5108,"Camco EAM, LLC",Double A Dairy,Livestock Waste Management,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,12/22/2014,12/21/2024,N/A,ARB Terminated,6/17/2022,Jerome,IDAHO,US,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action","Agri-Waste Technology, Inc.",N/A,294783,View,
ACR922,N/A,Terra Verde Inc,Double Bar IFM,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,6/15/2023,6/14/2043,Listed,Not ARB or Ecology Eligible,9/6/2023,"Fossil, Oregon",OREGON,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land",SCS Global Services (Scientific Certification Systems),,,View,
ACR853,N/A,"Doyon, Limited",Doyon Ts'ebaa North,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,7/19/2022,7/19/2042,Listed,Not ARB or Ecology Eligible,4/17/2023,Western Interior Alaska,ALASKA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land",SCS Global Services (Scientific Certification Systems),,,View,
ACR857,N/A,"Doyon, Limited",Doyon Ts'ebaa South,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,7/19/2022,7/19/2042,Listed,Not ARB or Ecology Eligible,4/17/2023,Western Interior Alaska,ALASKA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land",SCS Global Services (Scientific Certification Systems),,,View,
ACR175,,"Diversified Pure Chem, LLC",DPC Domestic ODS Destruction Project #12,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/21/2013,3/20/2023,N/A,ARB Inactive,1/22/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,N/A,,View,www.divpc.com
ACR170,CAOD5002,Environmental Credit Corp.,ECC ODS Destruction 2012,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/28/2012,3/27/2022,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",SCS Engineers,N/A,307729,View,www.envcc.com
ACR176,CAOD5013,Environmental Credit Corp.,ECC ODS Destruction 2013,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/18/2013,3/17/2023,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",SCS Engineers,N/A,255227,View,www.envcc.com
ACR239,CALS5139,"Camco Offsets I, LLC","Edaleen Cow Power, LLC",Livestock Waste Management,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,9/1/2014,8/31/2024,N/A,Listed - Active ARB Project,2/10/2015,Lynden,WASHINGTON,US,"02: Zero Hunger;09: Industry, Innovation and Infrastructure;13: Climate Action","Agri-Waste Technology, Inc.",N/A,42727,View,
ACR243,CAMM5173,Vessels Carbon Solutions,Elk Creek Coal Mine Methane Destruction & Utilization Project,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,1/1/2015,1/31/2025,N/A,ARB Completed,1/22/2020,Somerset,COLORADO,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",SCS Engineers,N/A,266263,View,
ACR367,CAMM5367,Vessels Carbon Solutions,Elk Creek Permit Area Abandoned Mine Project,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,2/1/2016,1/31/2026,N/A,Listed - Active ARB Project,3/10/2017,Somerset,COLORADO,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",SCS Global Services (Scientific Certification Systems),N/A,758910,View,
ACR205,N/A,Terra Global Capital,Emission Reductions in California Rice Management Systems,Agricultural Land Management,Emission Reductions in Rice Management Systems,10/7/2011,10/31/2016,Completed,Not ARB or Ecology Eligible,1/22/2021,Colusa and Glenn Counties in California’s Sacramento Valley.,CALIFORNIA,US,02: Zero Hunger;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,"Environmental Services, Inc.","Environmental Services, Inc.",202,View,
ACR231,N/A,Terra Global Capital,Emission Reductions in California Rice Management Systems – System 2,Agricultural Land Management,Emission Reductions in Rice Management Systems,11/1/2006,11/1/2016,Canceled,Not ARB or Ecology Eligible,1/8/2021,"Colusa, Butte, Sutter, Placer, Glenn, Yuba and Sacramento Counties in California",CALIFORNIA,US,02: Zero Hunger;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,,,,View,
ACR230,N/A,Terra Global Capital,Emission Reductions in Midsouth Rice Management Systems,Agricultural Land Management,Emission Reductions in Rice Management Systems,8/27/2012,10/31/2017,Completed,Not ARB or Ecology Eligible,1/22/2021,"Prairie, McGhee, Desha, Mississippi and Craighead Counties in Arkansas, and Coahoma, Bolivar, and Washington Counties in Mississippi",ARKANSAS,US,02: Zero Hunger;06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,SCS Global Services (Scientific Certification Systems),SCS Global Services (Scientific Certification Systems),395,View,
ACR184,N/A,EOS Climate Inc,EOS ACR 2013,Ozone Depleting Substances,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,7/17/2013,7/16/2023,Completed,Not ARB or Ecology Eligible,1/7/2022,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",NSF International Strategic Registrations (NSF-ISR),,249025,View,www.eosclimate.com
ACR213,CAOD5068,EOS Climate Inc,EOS ACR 213,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/11/2015,3/10/2025,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,127664,View,www.eosclimate.com
ACR214,CAOD5069,EOS Climate Inc,EOS ACR 214,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,5/4/2015,5/3/2025,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,145580,View,www.eosclimate.com
ACR240,CAOD5140,EOS Climate Inc,EOS ACR 240,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,9/29/2015,9/28/2025,N/A,ARB Completed,1/27/2020,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,129700,View,www.eosclimate.com
ACR252,CAOD5188,EOS Climate Inc,EOS ACR 252,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,11/3/2015,11/2/2025,N/A,ARB Completed,1/27/2020,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,140736,View,www.eosclimate.com
ACR253,CAOD5189,EOS Climate Inc,EOS ACR 253,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,12/7/2015,12/6/2025,N/A,ARB Completed,1/27/2020,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,135017,View,www.eosclimate.com
ACR271,CAOD5211,EOS Climate Inc,EOS ACR 271,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,1/13/2016,1/12/2026,N/A,ARB Completed,1/27/2020,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,124882,View,www.eosclimate.com
ACR285,CAOD5216,EOS Climate Inc,EOS ACR 285,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,11/20/2015,11/19/2025,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,45663,View,www.eosclimate.com
ACR311,CAOD5261,EOS Climate Inc,EOS ACR 311,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,4/6/2016,4/5/2026,N/A,ARB Completed,1/27/2020,Clean Harbors,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,107264,View,www.eosclimate.com
ACR312,CAOD5262,EOS Climate Inc,EOS ACR 312,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,2/18/2016,2/17/2026,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,140871,View,www.eosclimate.com
ACR315,CAOD5277,EOS Climate Inc,EOS ACR 315,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,8/1/2016,7/31/2026,N/A,ARB Completed,1/27/2020,Bowling Green,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,86839,View,www.eosclimate.com
ACR316,CAOD5278,EOS Climate Inc,EOS ACR 316,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,8/19/2016,8/18/2026,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,N/A,104897,View,www.eosclimate.com
ACR351,CAOD5351,EOS Climate Inc,EOS ACR 351,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,9/23/2016,9/22/2026,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,28562,View,www.eosclimate.com
ACR352,CAOD5352,EOS Climate Inc,EOS ACR 352,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,10/26/2016,10/25/2026,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,68637,View,www.eosclimate.com
ACR356,CAOD5356,EOS Climate Inc,EOS ACR 356,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,12/2/2016,12/1/2026,N/A,ARB Completed,2/10/2023,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,110720,View,www.eosclimate.com
ACR357,CAOD5357,EOS Climate Inc,EOS ACR 357,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,1/6/2017,1/5/2027,N/A,ARB Completed,2/10/2023,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,84131,View,www.eosclimate.com
ACR358,CAOD5358,EOS Climate Inc,EOS ACR 358,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,4/7/2017,4/6/2027,N/A,ARB Completed,2/10/2023,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","SES, Inc.",N/A,60749,View,www.eosclimate.com
ACR372,N/A,EOS Climate Inc,EOS ACR 372,Ozone Depleting Substances,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,4/17/2013,4/16/2023,Completed,Not ARB or Ecology Eligible,2/10/2023,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,,,View,www.eosclimate.com
ACR258,CAOD5001,EOS Climate Inc,EOS ARB ODS 2013-1,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,1/24/2013,1/23/2023,N/A,ARB Completed,2/10/2023,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,N/A,,View,www.eosclimate.com
ACR172,CAOD5004,EOS Climate Inc,EOS ARB ODS 2013-2,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/26/2013,3/25/2023,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",NSF International Strategic Registrations (NSF-ISR),N/A,55996,View,www.eosclimate.com
ACR178,,EOS Climate Inc,EOS ARB ODS 2013-4,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,5/1/2013,4/30/2023,N/A,ARB Inactive,1/22/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,N/A,,View,www.eosclimate.com
ACR181,CAOD5015,EOS Climate Inc,EOS ARB ODS 2013-6,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,8/30/2013,8/29/2023,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",NSF International Strategic Registrations (NSF-ISR),N/A,51864,View,www.eosclimate.com
ACR193,CAOD5035,EOS Climate Inc,EOS ARB ODS 2013-7,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,1/26/2014,1/25/2024,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",NSF International Strategic Registrations (NSF-ISR),N/A,84418,View,www.eosclimate.com
ACR195,CAOD5049,EOS Climate Inc,EOS ARB ODS 2014-1,Ozone Depleting Substances,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,3/6/2014,3/5/2024,N/A,ARB Completed,1/27/2020,El Dorado,ARKANSAS,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",NSF International Strategic Registrations (NSF-ISR),N/A,122080,View,www.eosclimate.com
